"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Metropolitan",502594,196087,499647,197564,46.3958333333333,"Chorleywood","Chalfont & Latimer"
"Metropolitan",505715,194599,502594,196087,52.5625,"Rickmansworth","Chorleywood"
"Metropolitan",505715,194599,508581,193487,54.6958333333333,"Rickmansworth","Moor Park"
"Metropolitan",507565,185008,505626,184164,68.2291666666666,"Hillingdon","Uxbridge"
"Metropolitan",507565,185008,508093,185939,74.8958333333333,"Hillingdon","Ickenham"
"Metropolitan",507913,195399,508581,193487,56.0958333333333,"Croxley","Moor Park"
"Metropolitan",508093,185939,509496,187022,74.8958333333333,"Ickenham","Ruislip"
"Metropolitan",509235,191435,508581,193487,54.3958333333333,"Northwood","Moor Park"
"Metropolitan",509235,191435,510269,190271,54.2291666666666,"Northwood","Northwood Hills"
"Metropolitan",509579,196590,507913,195399,64.0958333333333,"Watford","Croxley"
"Metropolitan",510124,187229,511190,187621,74.8958333333333,"Ruislip Manor","Eastcote"
"Metropolitan",511190,187621,512984,187491,72.8958333333333,"Eastcote","Rayners Lane"
"Metropolitan",512253,189465,510269,190271,50.8958333333333,"Pinner","Northwood Hills"
"Metropolitan",512253,189465,513568,188597,56.8958333333333,"Pinner","North Harrow"
"Metropolitan",512984,187491,514225,188053,67.5625,"Rayners Lane","West Harrow"
"Metropolitan",513568,188597,515328,188028,52.8958333333333,"North Harrow","Harrow on the Hill"
"Metropolitan",515328,188028,514225,188053,66.8958333333333,"Harrow on the Hill","West Harrow"
"Metropolitan",515328,188028,516633,187976,67.8958333333333,"Harrow on the Hill","Northwick Park"
"Metropolitan",516633,187976,518240,187284,52.8958333333333,"Northwick Park","Preston Road"
"Metropolitan",518240,187284,519373,186334,52.8958333333333,"Preston Road","Wembley Park"
"Metropolitan",519373,186334,526262,184699,44.4958333333333,"Wembley Park","Finchley Road"
"Metropolitan",526262,184699,527965,182070,67.2958333333333,"Finchley Road","Baker Street"
"Metropolitan",527965,182070,528862,182166,116.324404761905,"Baker Street","Great Portland Street"
"Metropolitan",529420,182385,528862,182166,128.895833333333,"Euston Square","Great Portland Street"
"Metropolitan",529420,182385,530237,182944,105.895833333333,"Euston Square","King's Cross St. Pancras"
"Metropolitan",530237,182944,531569,181871,82.2291666666665,"King's Cross St. Pancras","Farringdon"
"Metropolitan",532080,181851,531569,181871,88.8958333333333,"Barbican","Farringdon"
"Metropolitan",533111,181567,532689,181669,96.8958333333331,"Liverpool Street","Moorgate"
"Metropolitan",533111,181567,533630,181238,100.895833333333,"Liverpool Street","Aldgate"
"Northern",520312,190743,519537,191942,8.01416666666667,"Burnt Oak","Edgware"
"Northern",521305,189944,520312,190743,14.2316666666667,"Colindale","Burnt Oak"
"Northern",522975,188649,521305,189944,14.4964285714286,"Hendon Central","Colindale"
"Northern",522975,188649,523896,187949,68.7521428571429,"Hendon Central","Brent Cross"
"Northern",525257,187473,523896,187949,132.561666666667,"Golders Green","Brent Cross"
"Northern",525257,187473,526393,185773,251.695,"Golders Green","Hampstead"
"Northern",525537,191627,525285,190673,50.3011111111111,"West Finchley","Finchley Central"
"Northern",525537,191627,525725,192558,45.19,"West Finchley","Woodside Park"
"Northern",525668,168580,525828,170024,134.523333333333,"Morden","South Wimbledon"
"Northern",526118,193947,524989,196188,29.44,"Totteridge & Whetstone","High Barnet"
"Northern",526118,193947,525725,192558,39.8566666666667,"Totteridge & Whetstone","Woodside Park"
"Northern",526813,170359,525828,170024,311.19,"Colliers Wood","South Wimbledon"
"Northern",526813,170359,527463,171417,326.19,"Colliers Wood","Tooting Broadway"
"Northern",527243,189197,525285,190673,65.5536363636364,"East Finchley","Finchley Central"
"Northern",527243,189197,528524,188153,138.19,"East Finchley","Highgate"
"Northern",527380,185101,526393,185773,306.395,"Belsize Park","Hampstead"
"Northern",527380,185101,528127,184414,373.395,"Belsize Park","Chalk Farm"
"Northern",527463,171417,528015,172357,384.523333333333,"Tooting Broadway","Tooting Bec"
"Northern",528127,184414,528903,183913,394.895,"Chalk Farm","Camden Town"
"Northern",528445,173210,528015,172357,268.19,"Balham","Tooting Bec"
"Northern",528445,173210,528782,174251,294.19,"Balham","Clapham South"
"Northern",528903,183913,529588,182727,324.19,"Camden Town","Euston"
"Northern",529029,185129,528903,183913,346.69,"Kentish Town","Camden Town"
"Northern",529187,183342,528903,183913,348.523333333333,"Mornington Crescent","Camden Town"
"Northern",529187,183342,529588,182727,315.19,"Mornington Crescent","Euston"
"Northern",529187,185841,529029,185129,330.69,"Tufnell Park","Kentish Town"
"Northern",529187,185841,529357,186820,288.19,"Tufnell Park","Archway"
"Northern",529254,182264,529588,182727,364.19,"Warren Street","Euston"
"Northern",529357,186820,528524,188153,231.19,"Archway","Highgate"
"Northern",529428,175283,528782,174251,287.99,"Clapham Common","Clapham South"
"Northern",529428,175283,530030,175645,313.19,"Clapham Common","Clapham North"
"Northern",529516,181816,529254,182264,320.19,"Goodge Street","Warren Street"
"Northern",529588,182727,530237,182944,355.19,"Euston","King's Cross St. Pancras"
"Northern",529791,181354,529516,181816,279.19,"Tottenham Court Road","Goodge Street"
"Northern",530030,175645,530469,176471,356.19,"Clapham North","Stockwell"
"Northern",530237,180518,529988,180804,361.856666666667,"Charing Cross","Leicester Square"
"Northern",530237,182944,531484,183210,302.19,"King's Cross St. Pancras","Angel"
"Northern",530407,180372,530237,180518,505.19,"Embankment","Charing Cross"
"Northern",530469,176471,531136,177594,400.19,"Stockwell","Oval"
"Northern",530993,179971,530407,180372,407.19,"Waterloo","Embankment"
"Northern",530993,179971,531633,178276,434.39,"Waterloo","Kennington"
"Northern",531136,177594,531633,178276,575.19,"Oval","Kennington"
"Northern",531484,183210,532769,182476,217.19,"Angel","Old Street"
"Northern",531941,179136,531633,178276,339.19,"Elephant & Castle","Kennington"
"Northern",532413,179751,531941,179136,347.19,"Borough","Elephant & Castle"
"Northern",532689,181669,532710,181106,289.19,"Moorgate","Bank"
"Northern",532710,181106,532871,180242,359.19,"Bank","London Bridge"
"Northern",532769,182476,532689,181669,221.19,"Old Street","Moorgate"
"Northern",532871,180242,532413,179751,363.19,"London Bridge","Borough"
"Piccadilly",507585,175830,509612,175361,155.105833333333,"Heathrow Terminals 1, 2, 3","Hatton Cross"
"Piccadilly",508058,174431,507585,175830,103.605833333333,"Heathrow Terminal 4","Heathrow Terminals 1, 2, 3"
"Piccadilly",509612,175361,508058,174431,134.105833333333,"Hatton Cross","Heathrow Terminal 4"
"Piccadilly",509612,175361,512213,176132,123.105833333333,"Hatton Cross","Hounslow West"
"Piccadilly",513525,175944,512213,176132,120.105833333333,"Hounslow Central","Hounslow West"
"Piccadilly",514230,176192,513525,175944,126.105833333333,"Hounslow East","Hounslow Central"
"Piccadilly",514537,177062,514230,176192,120.105833333333,"Osterley","Hounslow East"
"Piccadilly",516390,178747,514537,177062,122.105833333333,"Boston Manor","Osterley"
"Piccadilly",516390,178747,517117,179162,123.105833333333,"Boston Manor","Northfields"
"Piccadilly",517607,179406,517117,179162,131.105833333333,"South Ealing","Northfields"
"Piccadilly",519461,179603,517607,179406,128.439166666666,"Acton Town","South Ealing"
"Piccadilly",519461,179603,521267,178796,143.7725,"Acton Town","Turnham Green"
"Piccadilly",521267,178796,523504,178567,138.105833333333,"Turnham Green","Hammersmith"
"Piccadilly",523504,178567,524121,178314,161.7725,"Hammersmith","Barons Court"
"Piccadilly",524121,178314,525509,178531,223.105833333333,"Barons Court","Earl's Court"
"Piccadilly",525509,178531,526235,178820,431.105833333333,"Earl's Court","Gloucester Road"
"Piccadilly",526235,178820,526865,178809,291.105833333333,"Gloucester Road","South Kensington"
"Piccadilly",526865,178809,527775,179672,312.105833333333,"South Kensington","Knightsbridge"
"Piccadilly",527775,179672,528310,179820,327.105833333333,"Knightsbridge","Hyde Park Corner"
"Piccadilly",528981,180292,528310,179820,286.105833333333,"Green Park","Hyde Park Corner"
"Piccadilly",529350,195962,528109,196387,98.4391666666664,"Oakwood","Cockfosters"
"Piccadilly",529350,195962,529676,194272,128.105833333333,"Oakwood","Southgate"
"Piccadilly",529591,180661,528981,180292,291.105833333333,"Piccadilly Circus","Green Park"
"Piccadilly",529676,194272,529323,192485,124.105833333333,"Southgate","Arnos Grove"
"Piccadilly",529988,180804,529591,180661,301.105833333333,"Leicester Square","Piccadilly Circus"
"Piccadilly",529993,191472,529323,192485,215.605833333333,"Bounds Green","Arnos Grove"
"Piccadilly",530227,182111,530541,181510,228.439166666666,"Russell Square","Holborn"
"Piccadilly",530237,182944,530227,182111,299.105833333333,"King's Cross St. Pancras","Russell Square"
"Piccadilly",530237,182944,530570,184959,237.7725,"King's Cross St. Pancras","Caledonian Road"
"Piccadilly",530266,180999,530541,181510,285.105833333333,"Covent Garden","Holborn"
"Piccadilly",530570,184959,530931,185450,301.105833333333,"Caledonian Road","Holloway Road"
"Piccadilly",531031,190429,529993,191472,287.7725,"Wood Green","Bounds Green"
"Piccadilly",531342,186757,532072,187483,348.105833333333,"Finsbury Park","Manor House"
"Piccadilly",531411,186102,530931,185450,377.105833333333,"Arsenal","Holloway Road"
"Piccadilly",531411,186102,531342,186757,305.7725,"Arsenal","Finsbury Park"
"Piccadilly",531525,189643,531031,190429,331.7725,"Turnpike Lane","Wood Green"
